Total_spending,Total_orders,segments,Customer type
519.61,34,High Value,Repeat customer
1020.42,60,High Value,Repeat customer
160.54000000000002,28,High Value,Repeat customer
218.45,11,High Value,Repeat customer
1315.83,88,High Value,Repeat customer
657.8,147,High Value,Repeat customer
2794.51,114,High Value,Repeat customer
440.42,29,High Value,Repeat customer
415.7,24,High Value,Repeat customer
197.71,15,High Value,Repeat customer
511.36,22,High Value,Repeat customer
7281.38,247,High Value,Repeat customer
2338.15,96,High Value,Repeat customer
2040.1,87,High Value,Repeat customer
196.94000000000003,11,High Value,Repeat customer
144.0,4,High Value,Repeat customer
214.89999999999998,10,High Value,Repeat customer
646.68,35,High Value,Repeat customer
9864.26,68,High Value,Repeat customer
452.84999999999997,26,High Value,Repeat customer
437.6,18,High Value,Repeat customer
418.09999999999997,21,High Value,Repeat customer
3338.2200000000003,118,High Value,Repeat customer
618.27,27,High Value,Repeat customer
3811.22,206,High Value,Repeat customer
3023.08,132,High Value,Repeat customer
1032.58,62,High Value,Repeat customer
2599.04,64,High Value,Repeat customer
577.0600000000001,28,High Value,Repeat customer
153.12,12,High Value,Repeat customer
739.1999999999999,2,High Value,Repeat customer
254.18,16,High Value,Repeat customer
1579.51,101,High Value,Repeat customer
1126.85,60,High Value,Repeat customer
2099.54,106,High Value,Repeat customer
1193.32,65,High Value,Repeat customer
704.0400000000001,19,High Value,Repeat customer
3344.38,153,High Value,Repeat customer
315.6,20,High Value,Repeat customer
2291.19,105,High Value,Repeat customer
713.3,32,High Value,Repeat customer
355.53,42,High Value,Repeat customer
177.31,11,High Value,Repeat customer
3641.24,90,High Value,Repeat customer
1339.41,92,High Value,Repeat customer
13689.67,467,High Value,Repeat customer
180.1,11,High Value,Repeat customer
305.1,18,High Value,Repeat customer
641.13,38,High Value,Repeat customer
2683.82,86,High Value,Repeat customer
6620.48,294,High Value,Repeat customer
4478.53,230,High Value,Repeat customer
786.46,41,High Value,Repeat customer
1270.88,64,High Value,Repeat customer
640.5,31,High Value,Repeat customer
2163.98,101,High Value,Repeat customer
1689.18,101,High Value,Repeat customer
6021.9,390,High Value,Repeat customer
671.69,39,High Value,Repeat customer
486.1,22,High Value,Repeat customer
1174.58,53,High Value,Repeat customer
185.9,10,High Value,Repeat customer
1013.26,47,High Value,Repeat customer
3344.64,24,High Value,Repeat customer
477.91,31,High Value,Repeat customer
1775.18,73,High Value,Repeat customer
1346.97,45,High Value,Repeat customer
3722.82,121,High Value,Repeat customer
318.05,21,High Value,Repeat customer
623.51,31,High Value,Repeat customer
314.44,20,High Value,Repeat customer
114.0,9,High Value,Repeat customer
919.98,48,High Value,Repeat customer
2209.85,43,High Value,Repeat customer
601.98,38,High Value,Repeat customer
4051.17,126,High Value,Repeat customer
1643.18,47,High Value,Repeat customer
686.05,36,High Value,Repeat customer
91.68,5,High Value,Repeat customer
245.1,13,High Value,Repeat customer
3849.78,230,High Value,Repeat customer
4881.88,37,High Value,Repeat customer
63.0,3,High Value,Repeat customer
620.13,33,High Value,Repeat customer
3807.15,161,High Value,Repeat customer
2744.0299999999997,101,High Value,Repeat customer
2996.05,92,High Value,Repeat customer
225.89999999999998,10,High Value,Repeat customer
610.52,42,High Value,Repeat customer
1970.6,83,High Value,Repeat customer
1331.39,45,High Value,Repeat customer
17628.46,165,High Value,Repeat customer
1113.02,48,High Value,Repeat customer
862.81,52,High Value,Repeat customer
13787.54,638,High Value,Repeat customer
12288.22,525,High Value,Repeat customer
8476.57,344,High Value,Repeat customer
2283.63,105,High Value,Repeat customer
2863.08,157,High Value,Repeat customer
89.14,7,High Value,Repeat customer
4873.8099999999995,171,High Value,Repeat customer
1247.61,72,High Value,Repeat customer
389.01,16,High Value,Repeat customer
1035.8,32,High Value,Repeat customer
855.91,39,High Value,Repeat customer
869.67,37,High Value,Repeat customer
582.1,27,High Value,Repeat customer
957.59,41,High Value,Repeat customer
4939.99,268,High Value,Repeat customer
797.71,53,High Value,Repeat customer
219.0,12,High Value,Repeat customer
283.55,21,High Value,Repeat customer
2340.84,88,High Value,Repeat customer
6868.29,334,High Value,Repeat customer
603.42,33,High Value,Repeat customer
2712.91,157,High Value,Repeat customer
9736.52,208,High Value,Repeat customer
1149.02,77,High Value,Repeat customer
4396.13,133,High Value,Repeat customer
848.55,38,High Value,Repeat customer
4708.86,259,High Value,Repeat customer
353.86,21,High Value,Repeat customer
1053.49,69,High Value,Repeat customer
1030.98,55,High Value,Repeat customer
238.25,19,High Value,Repeat customer
644.95,39,High Value,Repeat customer
5781.73,354,High Value,Repeat customer
2656.13,161,High Value,Repeat customer
997.63,53,High Value,Repeat customer
725.07,69,High Value,Repeat customer
1031.41,53,High Value,Repeat customer
427.8,24,High Value,Repeat customer
2609.1,124,High Value,Repeat customer
3980.7,139,High Value,Repeat customer
836.33,46,High Value,Repeat customer
453.01,26,High Value,Repeat customer
18895.91,274,High Value,Repeat customer
236.26000000000002,12,High Value,Repeat customer
383.95,22,High Value,Repeat customer
110.39999999999999,4,High Value,Repeat customer
779.5699999999999,43,High Value,Repeat customer
234.0,4,High Value,Repeat customer
155.35,11,High Value,Repeat customer
1013.04,38,High Value,Repeat customer
427.6,27,High Value,Repeat customer
546.43,134,High Value,Repeat customer
21279.29,222,High Value,Repeat customer
4196.01,103,High Value,Repeat customer
33719.73,4595,Low Value,Repeat customer
4090.88,199,High Value,Repeat customer
275.88,15,High Value,Repeat customer
4366.78,53,High Value,Repeat customer
21429.39,197,High Value,Repeat customer
3010.74,63,High Value,Repeat customer
3811.95,4,High Value,Repeat customer
112.07999999999998,4,High Value,Repeat customer
7857.1,371,High Value,Repeat customer
2791.59,97,High Value,Repeat customer
1531.44,95,High Value,Repeat customer
1898.52,69,High Value,Repeat customer
494.08,18,High Value,Repeat customer
1693.88,45,High Value,Repeat customer
6989.63,310,High Value,Repeat customer
1143.6,32,High Value,Repeat customer
1351.45,12,High Value,Repeat customer
892.47,55,High Value,Repeat customer
1386.04,66,High Value,Repeat customer
822.23,50,High Value,Repeat customer
3981.36,149,High Value,Repeat customer
826.74,25,High Value,Repeat customer
2330.92,103,High Value,Repeat customer
2225.91,84,High Value,Repeat customer
574.42,59,High Value,Repeat customer
311.95,14,High Value,Repeat customer
463.66,20,High Value,Repeat customer
91.85,4,High Value,Repeat customer
324.92,21,High Value,Repeat customer
192.60000000000002,2,High Value,Repeat customer
400.53999999999996,25,High Value,Repeat customer
545.48,24,High Value,Repeat customer
860.41,45,High Value,Repeat customer
430.48,14,High Value,Repeat customer
254.03,13,High Value,Repeat customer
6977.04,8,High Value,Repeat customer
427.58,25,High Value,Repeat customer
483.65000000000003,28,High Value,Repeat customer
489.31,25,High Value,Repeat customer
514.85,31,High Value,Repeat customer
229.64000000000001,15,High Value,Repeat customer
125.92,2,High Value,Repeat customer
1063.46,47,High Value,Repeat customer
572.2,29,High Value,Repeat customer
166.04,4,High Value,Repeat customer
1542.08,14,High Value,Repeat customer
942.34,59,High Value,Repeat customer
92.72,6,High Value,Repeat customer
948.88,46,High Value,Repeat customer
1759.5,5,High Value,Repeat customer
397.12,25,High Value,Repeat customer
1474.72,91,High Value,Repeat customer
430.15000000000003,25,High Value,Repeat customer
1018.71,56,High Value,Repeat customer
293.0,11,High Value,Repeat customer
6814.64,38,High Value,Repeat customer
215.05,9,High Value,Repeat customer
383.03,27,High Value,Repeat customer
417.38,24,High Value,Repeat customer
312.38,18,High Value,Repeat customer
2612.86,175,High Value,Repeat customer
134.1,12,High Value,Repeat customer
683.13,123,High Value,Repeat customer
5591.42,314,High Value,Repeat customer
2726.77,113,High Value,Repeat customer
4022.35,420,High Value,Repeat customer
1118.99,34,High Value,Repeat customer
1702.26,103,High Value,Repeat customer
325.96000000000004,52,High Value,Repeat customer
354.09,27,High Value,Repeat customer
871.54,91,High Value,Repeat customer
1050.8899999999999,51,High Value,Repeat customer
135.18,50,High Value,Repeat customer
311.55,17,High Value,Repeat customer
1957.1000000000001,78,High Value,Repeat customer
1324.5,110,High Value,Repeat customer
38.1,3,High Value,Repeat customer
2179.93,314,High Value,Repeat customer
1106.4,46,High Value,Repeat customer
521.2,5,High Value,Repeat customer
147.12,3,High Value,Repeat customer
1568.23,95,High Value,Repeat customer
559.12,26,High Value,Repeat customer
4036.82,538,High Value,Repeat customer
1607.0600000000002,107,High Value,Repeat customer
380.64,11,High Value,Repeat customer
599.97,66,High Value,Repeat customer
374.0,4,High Value,Repeat customer
343.2300000000001,2,High Value,Repeat customer
2218.02,85,High Value,Repeat customer
1535.77,154,High Value,Repeat customer
854.99,47,High Value,Repeat customer
573.22,10,High Value,Repeat customer
298.0,7,High Value,Repeat customer
1463.04,13,High Value,Repeat customer
703.47,42,High Value,Repeat customer
309.05,7,High Value,Repeat customer
1175.22,71,High Value,Repeat customer
1378.4,82,High Value,Repeat customer
354.12,5,High Value,Repeat customer
380.46999999999997,82,High Value,Repeat customer
331.0,3,High Value,Repeat customer
188.14,34,High Value,Repeat customer
372.8,22,High Value,Repeat customer
216.5,4,High Value,Repeat customer
17654.54,116,High Value,Repeat customer
138.68,10,High Value,Repeat customer
509.58,72,High Value,Repeat customer
2919.81,63,High Value,Repeat customer
750.0,2,High Value,Repeat customer
2178.67,91,High Value,Repeat customer
3075.04,75,High Value,Repeat customer
1662.3,24,High Value,Repeat customer
2483.63,50,High Value,Repeat customer
363.65,22,High Value,Repeat customer
3006.15,107,High Value,Repeat customer
594.0,2,High Value,Repeat customer
1335.19,50,High Value,Repeat customer
164.23,28,High Value,Repeat customer
16587.09,720,High Value,Repeat customer
405.38,28,High Value,Repeat customer
176.97,29,High Value,Repeat customer
933.7,30,High Value,Repeat customer
694.05,45,High Value,Repeat customer
2062.7000000000003,84,High Value,Repeat customer
117.85,8,High Value,Repeat customer
415.8,25,High Value,Repeat customer
42055.96,82,High Value,Repeat customer
607.53,106,High Value,Repeat customer
2160.7,129,High Value,Repeat customer
1063.9,62,High Value,Repeat customer
1504.27,120,High Value,Repeat customer
114.14,9,High Value,Repeat customer
11581.8,47,High Value,Repeat customer
913.54,99,High Value,Repeat customer
683.9,75,High Value,Repeat customer
604.51,30,High Value,Repeat customer
462.95,23,High Value,Repeat customer
1603.99,97,High Value,Repeat customer
2064.95,116,High Value,Repeat customer
4167.22,215,High Value,Repeat customer
1843.0,23,High Value,Repeat customer
1064.07,63,High Value,Repeat customer
1387.79,79,High Value,Repeat customer
329.85,17,High Value,Repeat customer
4757.16,180,High Value,Repeat customer
108.07,19,High Value,Repeat customer
4017.54,238,High Value,Repeat customer
266.39,16,High Value,Repeat customer
1856.63,95,High Value,Repeat customer
771.91,109,High Value,Repeat customer
160.18,10,High Value,Repeat customer
1660.9,19,High Value,Repeat customer
135.95,5,High Value,Repeat customer
452.24,151,High Value,Repeat customer
11189.91,305,High Value,Repeat customer
144.8,8,High Value,Repeat customer
738.6,22,High Value,Repeat customer
39.239999999999995,9,High Value,Repeat customer
7374.900000000001,20,High Value,Repeat customer
372.21999999999997,20,High Value,Repeat customer
390.54,28,High Value,Repeat customer
97.5,4,High Value,Repeat customer
1239.38,76,High Value,Repeat customer
558.7,28,High Value,Repeat customer
535.32,92,High Value,Repeat customer
6924.110000000001,64,High Value,Repeat customer
409.5,13,High Value,Repeat customer
503.76,31,High Value,Repeat customer
414.76,27,High Value,Repeat customer
974.4200000000001,61,High Value,Repeat customer
211.32,3,High Value,Repeat customer
1226.89,59,High Value,Repeat customer
455.88,28,High Value,Repeat customer
534.85,31,High Value,Repeat customer
9818.82,339,High Value,Repeat customer
120.94999999999999,7,High Value,Repeat customer
149.05,6,High Value,Repeat customer
5655.91,404,High Value,Repeat customer
513.7,26,High Value,Repeat customer
81.57,4,High Value,Repeat customer
229.46999999999997,14,High Value,Repeat customer
50.550000000000004,3,High Value,Repeat customer
1661.8400000000001,89,High Value,Repeat customer
4810.9400000000005,219,High Value,Repeat customer
3466.2799999999997,109,High Value,Repeat customer
3346.28,176,High Value,Repeat customer
789.89,47,High Value,Repeat customer
204.0,1,High Value,One-time customer
7277.7,458,High Value,Repeat customer
2616.38,131,High Value,Repeat customer
689.9,40,High Value,Repeat customer
975.36,40,High Value,Repeat customer
6912.0,26,High Value,Repeat customer
661.3199999999999,45,High Value,Repeat customer
1247.5,10,High Value,Repeat customer
799.48,99,High Value,Repeat customer
1010.18,71,High Value,Repeat customer
190.55,11,High Value,Repeat customer
642.77,37,High Value,Repeat customer
921.88,27,High Value,Repeat customer
881.07,48,High Value,Repeat customer
908.46,28,High Value,Repeat customer
676.99,43,High Value,Repeat customer
516.42,13,High Value,Repeat customer
560.47,33,High Value,Repeat customer
305.28000000000003,18,High Value,Repeat customer
629.31,35,High Value,Repeat customer
3237.54,172,High Value,Repeat customer
1835.91,136,High Value,Repeat customer
656.6800000000001,14,High Value,Repeat customer
5836.86,403,High Value,Repeat customer
348.15000000000003,18,High Value,Repeat customer
1214.41,76,High Value,Repeat customer
271.40000000000003,8,High Value,Repeat customer
183.4,8,High Value,Repeat customer
307.53,15,High Value,Repeat customer
248.61,10,High Value,Repeat customer
346.98,11,High Value,Repeat customer
1119.49,69,High Value,Repeat customer
205.86,14,High Value,Repeat customer
470.8,48,High Value,Repeat customer
115.46000000000001,15,High Value,Repeat customer
344.0,2,High Value,Repeat customer
4436.12,425,High Value,Repeat customer
228.8,9,High Value,Repeat customer
177.15,7,High Value,Repeat customer
919.61,22,High Value,Repeat customer
729.27,112,High Value,Repeat customer
12627.94,358,High Value,Repeat customer
220.10000000000002,6,High Value,Repeat customer
58.08,6,High Value,Repeat customer
28337.38,1024,High Value,Repeat customer
3613.63,73,High Value,Repeat customer
303.75,18,High Value,Repeat customer
416.08000000000004,22,High Value,Repeat customer
58825.83,1818,High Value,Repeat customer
8910.82,155,High Value,Repeat customer
345.82,21,High Value,Repeat customer
477.83,25,High Value,Repeat customer
7832.47,159,High Value,Repeat customer
1927.3200000000002,24,High Value,Repeat customer
74.39999999999999,6,High Value,Repeat customer
6010.42,423,High Value,Repeat customer
28882.44,572,High Value,Repeat customer
207.35999999999999,1,High Value,One-time customer
101.19,8,High Value,Repeat customer
6424.09,304,High Value,Repeat customer
243.94,8,High Value,Repeat customer
1098.48,20,High Value,Repeat customer
76.5,1,High Value,One-time customer
1531.6200000000001,58,High Value,Repeat customer
350.06,10,High Value,Repeat customer
786.54,47,High Value,Repeat customer
1488.67,145,High Value,Repeat customer
12245.960000000001,200,High Value,Repeat customer
2294.78,120,High Value,Repeat customer
501.14,30,High Value,Repeat customer
984.91,76,High Value,Repeat customer
1197.81,79,High Value,Repeat customer
30.599999999999998,1,High Value,One-time customer
283.73,50,High Value,Repeat customer
922.39,55,High Value,Repeat customer
3866.33,235,High Value,Repeat customer
2099.64,140,High Value,Repeat customer
259.17,15,High Value,Repeat customer
64.0,2,High Value,Repeat customer
1073.3,44,High Value,Repeat customer
77.3,3,High Value,Repeat customer
109.8,7,High Value,Repeat customer
1793.58,98,High Value,Repeat customer
3096.0,1,High Value,One-time customer
2607.61,127,High Value,Repeat customer
3650.41,704,High Value,Repeat customer
962.39,63,High Value,Repeat customer
5064.94,170,High Value,Repeat customer
423.72,46,High Value,Repeat customer
2388.75,135,High Value,Repeat customer
307.09,23,High Value,Repeat customer
110.95,3,High Value,Repeat customer
618.52,6,High Value,Repeat customer
228.91,17,High Value,Repeat customer
712.8000000000001,4,High Value,Repeat customer
3707.12,319,High Value,Repeat customer
1676.06,86,High Value,Repeat customer
1257.8700000000001,74,High Value,Repeat customer
486.22,15,High Value,Repeat customer
971.76,85,High Value,Repeat customer
1741.22,87,High Value,Repeat customer
1201.06,79,High Value,Repeat customer
1437.85,121,High Value,Repeat customer
91.8,4,High Value,Repeat customer
112.75,8,High Value,Repeat customer
1688.29,79,High Value,Repeat customer
1021.48,42,High Value,Repeat customer
417.2,41,High Value,Repeat customer
791.33,65,High Value,Repeat customer
1319.19,131,High Value,Repeat customer
712.88,13,High Value,Repeat customer
116.00999999999999,32,High Value,Repeat customer
468.41,46,High Value,Repeat customer
353.65,43,High Value,Repeat customer
2817.03,314,High Value,Repeat customer
492.84,72,High Value,Repeat customer
282.45,17,High Value,Repeat customer
5725.47,265,High Value,Repeat customer
121.18,11,High Value,Repeat customer
3957.78,94,High Value,Repeat customer
1701.29,181,High Value,Repeat customer
71.4,1,High Value,One-time customer
1575.89,79,High Value,Repeat customer
236.02,37,High Value,Repeat customer
114.60000000000001,2,High Value,Repeat customer
260.68,29,High Value,Repeat customer
911.94,63,High Value,Repeat customer
117.88,29,High Value,Repeat customer
60.7,3,High Value,Repeat customer
1797.78,110,High Value,Repeat customer
3401.2400000000002,226,High Value,Repeat customer
9817.12,119,High Value,Repeat customer
870.09,46,High Value,Repeat customer
869.46,57,High Value,Repeat customer
250.26000000000002,8,High Value,Repeat customer
1223.9,149,High Value,Repeat customer
5891.61,321,High Value,Repeat customer
353.48,22,High Value,Repeat customer
1197.42,56,High Value,Repeat customer
788.08,142,High Value,Repeat customer
1520.58,90,High Value,Repeat customer
333.74,5,High Value,Repeat customer
533.98,4,High Value,Repeat customer
62.63999999999999,5,High Value,Repeat customer
819.2900000000001,21,High Value,Repeat customer
847.41,66,High Value,Repeat customer
163.20000000000002,5,High Value,Repeat customer
2155.95,108,High Value,Repeat customer
6463.84,32,High Value,Repeat customer
108.21000000000001,16,High Value,Repeat customer
257.7,9,High Value,Repeat customer
358.0,2,High Value,Repeat customer
160.95,10,High Value,Repeat customer
2806.97,611,High Value,Repeat customer
1357.6,207,High Value,Repeat customer
605.12,43,High Value,Repeat customer
1031.07,58,High Value,Repeat customer
744.85,36,High Value,Repeat customer
700.73,31,High Value,Repeat customer
329.56,21,High Value,Repeat customer
663.65,67,High Value,Repeat customer
270.40000000000003,13,High Value,Repeat customer
600.07,58,High Value,Repeat customer
121.74000000000001,27,High Value,Repeat customer
430.5,16,High Value,Repeat customer
1987.3,141,High Value,Repeat customer
501.12,25,High Value,Repeat customer
465.68,26,High Value,Repeat customer
711.41,23,High Value,Repeat customer
1030.4,36,High Value,Repeat customer
399.51,13,High Value,Repeat customer
698.58,38,High Value,Repeat customer
292.32,87,High Value,Repeat customer
557.62,8,High Value,Repeat customer
944.1,9,High Value,Repeat customer
200.29,11,High Value,Repeat customer
7454.07,1677,High Value,Repeat customer
2107.66,91,High Value,Repeat customer
3834.2599999999998,187,High Value,Repeat customer
4521.49,211,High Value,Repeat customer
3214.69,440,High Value,Repeat customer
5346.2300000000005,316,High Value,Repeat customer
590.0,1,High Value,One-time customer
217.38,96,High Value,Repeat customer
276.56,15,High Value,Repeat customer
138.98,16,High Value,Repeat customer
590.9300000000001,30,High Value,Repeat customer
258.4,8,High Value,Repeat customer
542.73,46,High Value,Repeat customer
137.75,9,High Value,Repeat customer
814.86,85,High Value,Repeat customer
1132.14,37,High Value,Repeat customer
93.66,7,High Value,Repeat customer
201.19,13,High Value,Repeat customer
2709.12,187,High Value,Repeat customer
361.11,42,High Value,Repeat customer
578.9399999999999,31,High Value,Repeat customer
873.74,54,High Value,Repeat customer
201.20000000000002,10,High Value,Repeat customer
87.4,5,High Value,Repeat customer
2089.85,59,High Value,Repeat customer
360.0,2,High Value,Repeat customer
142.5,5,High Value,Repeat customer
371.89,20,High Value,Repeat customer
618.09,81,High Value,Repeat customer
63.75,1,High Value,One-time customer
300.42,21,High Value,Repeat customer
2000.86,81,High Value,Repeat customer
15.0,1,High Value,One-time customer
1385.51,54,High Value,Repeat customer
1456.79,107,High Value,Repeat customer
1132.03,72,High Value,Repeat customer
598.57,26,High Value,Repeat customer
1555.32,78,High Value,Repeat customer
775.94,62,High Value,Repeat customer
5977.7300000000005,87,High Value,Repeat customer
2273.68,124,High Value,Repeat customer
640.76,20,High Value,Repeat customer
10845.550000000001,476,High Value,Repeat customer
1548.7,106,High Value,Repeat customer
567.36,11,High Value,Repeat customer
199.48000000000002,25,High Value,Repeat customer
787.85,21,High Value,Repeat customer
7121.95,75,High Value,Repeat customer
675.3,12,High Value,Repeat customer
3627.77,108,High Value,Repeat customer
1308.48,17,High Value,Repeat customer
789.0,17,High Value,Repeat customer
1140.93,53,High Value,Repeat customer
350.9,21,High Value,Repeat customer
3536.82,268,High Value,Repeat customer
795.12,51,High Value,Repeat customer
487.02,19,High Value,Repeat customer
860.12,54,High Value,Repeat customer
10736.48,134,High Value,Repeat customer
775.85,42,High Value,Repeat customer
353.43,19,High Value,Repeat customer
2543.72,119,High Value,Repeat customer
389.5,20,High Value,Repeat customer
341.36,8,High Value,Repeat customer
233.76,14,High Value,Repeat customer
247.32,16,High Value,Repeat customer
979.12,40,High Value,Repeat customer
373.94,16,High Value,Repeat customer
397.97999999999996,24,High Value,Repeat customer
743.53,51,High Value,Repeat customer
674.7,32,High Value,Repeat customer
768.24,42,High Value,Repeat customer
609.95,90,High Value,Repeat customer
439.03,29,High Value,Repeat customer
439.56,23,High Value,Repeat customer
3090.7400000000002,166,High Value,Repeat customer
992.5,60,High Value,Repeat customer
134.95999999999998,10,High Value,Repeat customer
2225.37,128,High Value,Repeat customer
56.160000000000004,1,High Value,One-time customer
623.4,29,High Value,Repeat customer
308.28000000000003,14,High Value,Repeat customer
754.87,39,High Value,Repeat customer
378.64,23,High Value,Repeat customer
3312.25,158,High Value,Repeat customer
778.65,37,High Value,Repeat customer
1019.76,53,High Value,Repeat customer
